PLAYER_NAME,Total_Shots,Total_Points,Total_xP,TEAM_NAME,Overperformance,xP_per_Shot,Overperf_per_Shot,GamesPlayed,Team
Isaac Okoro,245,268,301.9409,Cleveland Cavaliers,-33.940887451171875,1.2324117855149872,-0.138534234494579,55,CLE
Matas Buzelis,498,519,589.3079,Chicago Bulls,-70.30792236328125,1.1833492416933358,-0.1411805669945406,80,CHI
Vlatko Čančar,25,24,27.559692,Denver Nuggets,-3.5596923828125,1.1023876953125,-0.1423876953125,13,DEN
RayJ Dennis,32,28,32.56952,Indiana Pacers,-4.56951904296875,1.0177974700927734,-0.1427974700927734,11,IND
Maxi Kleber,92,87,100.19352,Dallas Mavericks,-13.193519592285156,1.089059995568317,-0.1434078216552734,34,LAL
DaQuan Jeffries,271,270,308.8778,Charlotte Hornets,-38.8778076171875,1.1397705078125,-0.143460544712869,47,CHA
Jeremy Sochan,441,489,552.5992,San Antonio Spurs,-63.59918212890625,1.2530593699068169,-0.1442158324918509,54,SAS
Andre Drummond,215,223,254.09798,Philadelphia 76ers,-31.097976684570312,1.1818510543468386,-0.1446417520212572,40,PHI
Jae Crowder,21,18,21.06503,Sacramento Kings,-3.06502914428711,1.0030966259184335,-0.1459537687755766,9,SAC
Taj Gibson,92,93,106.44472,Charlotte Hornets,-13.444717407226562,1.1570077979046365,-0.1461382326872452,37,CHA
Christian Koloko,62,76,85.124565,Los Angeles Lakers,-9.12456512451172,1.3729768568469631,-0.1471704052340599,37,LAL
Stephon Castle,960,904,1045.3501,San Antonio Spurs,-141.35009765625,1.0889063517252604,-0.1472396850585937,81,SAS
Bruce Brown,288,267,309.97488,Toronto Raptors,-42.974884033203125,1.076301680670844,-0.1492183473375108,41,NOP
Cody Martin,313,302,348.929,Phoenix Suns,-46.928985595703125,1.114789091360074,-0.149932861328125,53,PHX
Cole Swider,56,50,58.410717,Toronto Raptors,-8.410717010498047,1.043048518044608,-0.1501913751874651,10,TOR
Micah Potter,124,125,143.65794,Utah Jazz,-18.657943725585938,1.1585318042385964,-0.150467288109564,38,UTA
Pat Spencer,98,82,96.839424,Golden State Warriors,-14.83942413330078,0.988157389115314,-0.151422695237763,39,GSW
Dalen Terry,240,236,272.58347,Chicago Bulls,-36.583465576171875,1.135764439900716,-0.1524311065673828,73,CHI
Jerami Grant,550,506,590.1707,Portland Trail Blazers,-84.17071533203125,1.0730376642400568,-0.1530376642400568,47,POR
Kevin Love,111,103,120.08701,Miami Heat,-17.087013244628906,1.081864984185846,-0.153937056257918,23,MIA
Javonte Green,263,267,307.67932,New Orleans Pelicans,-40.6793212890625,1.169883350908983,-0.1546742254336977,68,CLE
Vasilije Micić,269,229,270.6858,Charlotte Hornets,-41.685791015625,1.0062668810989777,-0.154965765857342,41,PHX
Kobe Brown,69,67,77.733315,LA Clippers,-10.733314514160156,1.1265697755675386,-0.1555552828139153,40,LAC
Hunter Tyson,113,105,122.63573,Denver Nuggets,-17.635726928710938,1.0852719197231055,-0.1560683799000967,51,DEN
Pelle Larsson,186,186,215.15067,Miami Heat,-29.150665283203125,1.1567240068989415,-0.1567240068989415,55,MIA
Keon Johnson,726,668,784.4281,Brooklyn Nets,-116.4281005859375,1.0804794773910984,-0.1603692845536329,79,BKN
Sidy Cissoko,30,29,33.83393,San Antonio Spurs,-4.833930969238281,1.1277976989746097,-0.1611310323079427,22,POR
Wendell Carter Jr.,459,460,534.19324,Orlando Magic,-74.1932373046875,1.1638196891169663,-0.1616410398794934,68,ORL
Peyton Watson,398,411,475.5063,Denver Nuggets,-64.50628662109375,1.1947394136208385,-0.162076097037924,68,DEN
Devin Carter,121,108,127.64887,Sacramento Kings,-19.64887237548828,1.0549493584751095,-0.1623873750040353,36,SAC
Rayan Rupert,131,120,141.50526,Portland Trail Blazers,-21.50526428222656,1.0801928571162334,-0.1641623227650882,52,POR
